borrower_id,first_name,last_name,date_of_birth,age_band_note,ssn_token,ssn_masked,email,phone,street,city,state,postal_code,prior_street,prior_city,prior_state,prior_postal_code,years_at_current_address,marital_status,dependents,citizenship_status,credit_file_token,credit_file_masked,employer,employer_sector,occupation
BORR-000001,Emeka,Pemberton,1977-02-06,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000001,***-**-0001,emeka.pemberton001@example.com,(714) 555-0101,545 Meadowvane Drive,Yorba Linda,CA,92886,,,,,5,Married,0,US Citizen,SYN-CRDT-000001,****0001,Sable Ridge Software,technology,Systems Analyst
BORR-000002,Priya,Lindqvist,1963-12-14,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000002,***-**-0002,priya.lindqvist002@example.com,(630) 555-0102,2276 Innisfree Court,Naperville,IL,60540,,,,,3,Separated,1,US Citizen,SYN-CRDT-000002,****0002,Aldermill Retail Group,retail,Store Manager
BORR-000003,Ingrid,Vasquez,1973-07-19,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000003,***-**-0003,ingrid.vasquez003@example.com,(714) 555-0103,7025 Draycott Way,Yorba Linda,CA,92886,9249 Larkspur Avenue,Sugar Land,TX,77479,2,Separated,3,Permanent Resident,SYN-CRDT-000003,****0003,Pinewater Utilities District,utilities,Grid Technician
BORR-000004,Bianca,Kirilenko,1976-12-12,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000004,***-**-0004,bianca.kirilenko004@example.com,(503) 555-0104,8770 Stonebriar Court,Beaverton,OR,97006,,,,,3,Married,3,US Citizen,SYN-CRDT-000004,****0004,Meridian Civic Health,healthcare,Clinical Technologist
BORR-000005,Talia,Okafor,1960-02-11,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000005,***-**-0005,talia.okafor005@example.com,(303) 555-0105,2202 Gullwing Road,Broomfield,CO,80020,,,,,11,Married,0,US Citizen,SYN-CRDT-000005,****0005,Orchard Point Hospitality,hospitality,Events Director
BORR-000006,Elena,Achterberg,1987-03-13,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000006,***-**-0006,elena.achterberg006@example.com,(503) 555-0106,4201 Cedarhollow Drive,Beaverton,OR,97006,1430 Pemberly Road,Franklin,TN,37067,1,Unmarried,3,US Citizen,SYN-CRDT-000006,****0006,Harborline Logistics,logistics,Warehouse Planner
BORR-000007,Emeka,Underhill,1999-10-20,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000007,***-**-0007,emeka.underhill007@example.com,(248) 555-0107,1559 Thistledown Drive,Rochester Hills,MI,48307,,,,,10,Married,2,US Citizen,SYN-CRDT-000007,****0007,Pinewater Utilities District,utilities,Grid Technician
BORR-000008,Marcus,Delacroix,1967-01-10,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000008,***-**-0008,marcus.delacroix008@example.com,(630) 555-0108,4701 Innisfree Court,Naperville,IL,60540,,,,,3,Separated,3,US Citizen,SYN-CRDT-000008,****0008,Cartwright & Vale Advisory,professional_services,Analyst
BORR-000009,Camille,Ivanova,1962-01-11,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000009,***-**-0009,camille.ivanova009@example.com,(770) 555-0109,8339 Alderwood Lane,Sandy Springs,GA,30328,,,,,12,Married,3,US Citizen,SYN-CRDT-000009,****0009,Meridian Civic Health,healthcare,Clinical Technologist
BORR-000010,Everett,Mbeki,1990-10-20,Age is never a credit factor (CRD-SCR-006); date of birth is held for identity verification only.,SYN-SSN-000010,***-**-0010,everett.mbeki010@example.com,(401) 555-0110,3837 Larkspur Avenue,Cranston,RI,02910,,,,,11,Separated,3,US Citizen,SYN-CRDT-000010,****0010,Cartwright & Vale Advisory,professional_services,Account Director
