asset_id,application_id,borrower_id,asset_type,institution,account_token,account_masked,declared_balance,verified_balance,eligible_close_amount,eligible_reserve_amount,liquidity_haircut,eligibility_rule_id
APP-000001-AST-01,APP-000001,BORR-000001,checking,Cascade Mutual Credit Union,SYN-ACCT-000001,******0001,31138.25,31138.25,31138.25,31138.25,0.00,AST-ELG-001
APP-000001-AST-02,APP-000001,BORR-000001,savings,Cascade Mutual Credit Union,SYN-ACCT-000002,******0002,57828.19,57828.19,57828.19,57828.19,0.00,AST-ELG-001
APP-000001-AST-03,APP-000001,BORR-000001,brokerage,Tidewater Investment Services,SYN-ACCT-000003,******0003,7544.66,7544.66,6035.73,6035.73,0.20,AST-ELG-001
APP-000001-AST-04,APP-000001,BORR-000001,retirement,Meridian Retirement Trust,SYN-ACCT-000004,******0004,8047.63,8047.63,0,4828.58,0.40,AST-ELG-001
APP-000002-AST-01,APP-000002,BORR-000002,checking,Sablefield Trust,SYN-ACCT-000005,******0005,32751.78,32751.78,32751.78,32751.78,0.00,AST-ELG-001
APP-000002-AST-02,APP-000002,BORR-000002,savings,Sablefield Trust,SYN-ACCT-000006,******0006,60824.73,60824.73,60824.73,60824.73,0.00,AST-ELG-001
APP-000002-AST-03,APP-000002,BORR-000002,brokerage,Tidewater Investment Services,SYN-ACCT-000007,******0007,3669.86,3669.86,2935.89,2935.89,0.20,AST-ELG-001
APP-000002-AST-04,APP-000002,BORR-000002,retirement,Meridian Retirement Trust,SYN-ACCT-000008,******0008,3914.52,3914.52,0,2348.71,0.40,AST-ELG-001
APP-000003-AST-01,APP-000003,BORR-000003,checking,Cascade Mutual Credit Union,SYN-ACCT-000009,******0009,40555.19,40555.19,40555.19,40555.19,0.00,AST-ELG-001
APP-000003-AST-02,APP-000003,BORR-000003,savings,Cascade Mutual Credit Union,SYN-ACCT-000010,******0010,75316.79,75316.79,75316.79,75316.79,0.00,AST-ELG-001
APP-000003-AST-03,APP-000003,BORR-000003,brokerage,Tidewater Investment Services,SYN-ACCT-000011,******0011,8148.23,8148.23,6518.58,6518.58,0.20,AST-ELG-001
APP-000003-AST-04,APP-000003,BORR-000003,retirement,Meridian Retirement Trust,SYN-ACCT-000012,******0012,8691.43,8691.43,0,5214.86,0.40,AST-ELG-001
